ts,tick_current,price_normalised,total_equity,active_lower_tick,active_upper_tick,liquidity,amount0_mm,amount1_mm,token0_fee_accul,token1_fee_accul,peak_equity
1767575299,1575,117058724,961561454406,1550,1600,355736360849393,408514292805,483359835891,12593534,15491887,961650113539
1767575325,1575,117058917,961562242579,1550,1600,355736360849393,408243554312,483676759180,12593534,15514073,961650113539
1767575345,1575,117058994,961562556885,1550,1600,355736360849393,408135085539,483803731593,12593534,15522962,961650113539
1767575421,1574,117055415,961547859743,1550,1600,355736360849393,413161932475,477919445063,12945437,15522962,961650113539
1767575493,1574,117055969,961550146508,1550,1600,355736360849393,412383754092,478830347158,12945437,15586729,961650113539
1767575533,1574,117055855,961549676299,1550,1600,355736360849393,412543739333,478643074974,12956636,15586729,961650113539
1767575579,1574,117055620,961548706431,1550,1600,355736360849393,412873483389,478257090635,12979719,15586729,961650113539
1767575587,1574,117055512,961548260444,1550,1600,355736360849393,413025134075,478079575064,12990335,15586729,961650113539
1767575587,1574,117053461,961539759731,1550,1600,355736360849393,415906497625,474706809738,13192044,15586729,961650113539
1767575609,1574,117054676,961544802636,1550,1600,355736360849393,414199647946,476704746740,13192044,15726595,961650113539
1767575653,1574,117055392,961547764711,1550,1600,355736360849393,413193674115,477882289757,13192044,15809029,961650113539
1767575709,1574,117055465,961548066307,1550,1600,355736360849393,413092016498,478001285518,13192044,15817359,961650113539
1767575711,1574,117055618,961548698173,1550,1600,355736360849393,412877288602,478252636419,13192044,15834955,961650113539
1767575739,1574,117055849,961549651545,1550,1600,355736360849393,412552063105,478633331511,13192044,15861605,961650113539
1767575771,1574,117055865,961549717553,1550,1600,355736360849393,412530193546,478658931112,13192044,15863397,961650113539
1767575851,1574,117055188,961546921501,1550,1600,355736360849393,413480943091,477546026222,13258601,15863397,961650113539
1767575867,1574,117054508,961544106580,1550,1600,355736360849393,414435207599,476429013347,13325404,15863397,961650113539
1767575877,1574,117054594,961544462944,1550,1600,355736360849393,414314822257,476569929870,13325404,15873262,961650113539
1767576237,1574,117055212,961547020733,1550,1600,355736360849393,413447276209,477585435059,13325404,15944352,961650113539
1767576311,1574,117054471,961543953229,1550,1600,355736360849393,414488450001,476366690725,13398291,15944352,961650113539
1767576601,1574,117054551,961544284776,1550,1600,355736360849393,414375299567,476499138413,13398291,15953624,961650113539
1767576617,1574,117054630,961544612088,1550,1600,355736360849393,414264927348,476628334162,13398291,15962669,961650113539
1767576647,1574,117053481,961539842910,1550,1600,355736360849393,415877872124,474740316881,13451700,15962669,961650113539
1767576647,1574,117054024,961542099062,1550,1600,355736360849393,415114936381,475633361803,13511204,15962669,961650113539
1767576649,1574,117052695,961536569763,1550,1600,355736360849393,416982420582,473447408796,13588527,15962669,961650113539
1767576703,1574,117052066,961533944161,1550,1600,355736360849393,417866277147,472412833644,13650401,15962669,961650113539
1767576937,1574,117052155,961534316007,1550,1600,355736360849393,417740945531,472559536946,13650401,15972939,961650113539
1767576959,1574,117052281,961534842250,1550,1600,355736360849393,417563007843,472767816958,13650401,15987519,961650113539
1767576971,1574,117053319,961539169001,1550,1600,355736360849393,416105411841,474473973903,13650401,16106959,961650113539
